loss_avg;epoch;iteration;global_iteration
0.08565172553062439;0;100;100
0.06243445351719856;1;50;200
0.052156805992126465;1;150;300
0.03154774755239487;2;100;400
0.01511240005493164;3;50;500
0.01889766752719879;3;150;600
0.02186434157192707;4;100;700
0.03439057618379593;5;50;800
0.012479477562010288;5;150;900
0.011762408539652824;6;100;1000
0.02075933665037155;7;50;1100
0.011585340835154057;7;150;1200
0.004702631384134293;8;100;1300
0.006290887948125601;9;50;1400
0.0062818401493132114;9;150;1500
0.0039992318488657475;10;100;1600
0.007774090860038996;11;50;1700
0.009740681387484074;11;150;1800
0.006388102658092976;12;100;1900
0.010599683038890362;13;50;2000
0.0027814737986773252;13;150;2100
0.00862936582416296;14;100;2200
0.00663143303245306;15;50;2300
0.007518873084336519;15;150;2400
0.0031296787783503532;16;100;2500
0.006114673800766468;17;50;2600
0.00363748986274004;17;150;2700
0.0073963976465165615;18;100;2800
0.006023637484759092;19;50;2900
0.007767351809889078;19;150;3000
0.005827263463288546;20;100;3100
0.0036830157041549683;21;50;3200
0.0021478193812072277;21;150;3300
0.004600783810019493;22;100;3400
0.0029598448891192675;23;50;3500
0.006653642747551203;23;150;3600
0.0002749024424701929;24;100;3700
0.0044545019045472145;25;50;3800
0.0022018884774297476;25;150;3900
0.0018677279585972428;26;100;4000
0.002982416423037648;27;50;4100
0.0034605474211275578;27;150;4200
0.0020955554209649563;28;100;4300
0.00141213892493397;29;50;4400
0.002213643165305257;29;150;4500
0.0030489808414131403;30;100;4600
0.0013664828147739172;31;50;4700
0.0012069207150489092;31;150;4800
0.0013412341941148043;32;100;4900
0.0008884267881512642;33;50;5000
0.0021708172280341387;33;150;5100
0.0009172589052468538;34;100;5200
0.001045274082571268;35;50;5300
0.001269123051315546;35;150;5400
0.0055425334721803665;36;100;5500
0.00037900867755524814;37;50;5600
0.0015918819699436426;37;150;5700
0.0004709635686594993;38;100;5800
0.0019405265338718891;39;50;5900
0.0021854392252862453;39;150;6000
0.003418584121391177;40;100;6100
0.0005154723767191172;41;50;6200
0.0015605156077072024;41;150;6300
0.0014783160295337439;42;100;6400
0.0017423485405743122;43;50;6500
0.0006274811457842588;43;150;6600
0.0008771962020546198;44;100;6700
0.0006019730935804546;45;50;6800
0.0006757026421837509;45;150;6900
0.0027037281543016434;46;100;7000
0.0005596459959633648;47;50;7100
0.0008783866069279611;47;150;7200
0.0006361175910569727;48;100;7300
0.0011932371417060494;49;50;7400
0.0007446857634931803;49;150;7500
0.0005503827123902738;50;100;7600
0.00019601279927883297;51;50;7700
0.0003985231160186231;51;150;7800
0.00039966683834791183;52;100;7900
0.0006497991271317005;53;50;8000
0.00011558659025467932;53;150;8100
0.00021002073481213301;54;100;8200
0.0002872858021873981;55;50;8300
0.001152928452938795;55;150;8400
0.0005831550806760788;56;100;8500
0.0002711507841013372;57;50;8600
0.0002239725727122277;57;150;8700
0.0003121735935565084;58;100;8800
0.00023959182726684958;59;50;8900
0.00024414644576609135;59;150;9000
