lr;epoch;iteration;global_iteration
5.555555555555556e-06;0;100;100
1.1111111111111112e-05;1;50;200
1.6666666666666667e-05;1;150;300
2.2222222222222223e-05;2;100;400
2.777777777777778e-05;3;50;500
3.3333333333333335e-05;3;150;600
3.888888888888889e-05;4;100;700
4.4444444444444447e-05;5;50;800
5e-05;5;150;900
4.938271604938271e-05;6;100;1000
4.876543209876544e-05;7;50;1100
4.814814814814815e-05;7;150;1200
4.7530864197530866e-05;8;100;1300
4.691358024691358e-05;9;50;1400
4.62962962962963e-05;9;150;1500
4.567901234567901e-05;10;100;1600
4.506172839506173e-05;11;50;1700
4.4444444444444447e-05;11;150;1800
4.3827160493827164e-05;12;100;1900
4.3209876543209875e-05;13;50;2000
4.259259259259259e-05;13;150;2100
4.197530864197531e-05;14;100;2200
4.135802469135803e-05;15;50;2300
4.074074074074074e-05;15;150;2400
4.012345679012346e-05;16;100;2500
3.950617283950617e-05;17;50;2600
3.888888888888889e-05;17;150;2700
3.82716049382716e-05;18;100;2800
3.7654320987654326e-05;19;50;2900
3.7037037037037037e-05;19;150;3000
3.6419753086419754e-05;20;100;3100
3.580246913580247e-05;21;50;3200
3.518518518518519e-05;21;150;3300
3.45679012345679e-05;22;100;3400
3.395061728395062e-05;23;50;3500
3.3333333333333335e-05;23;150;3600
3.271604938271605e-05;24;100;3700
3.209876543209876e-05;25;50;3800
3.148148148148148e-05;25;150;3900
3.08641975308642e-05;26;100;4000
3.0246913580246916e-05;27;50;4100
2.962962962962963e-05;27;150;4200
2.9012345679012347e-05;28;100;4300
2.839506172839506e-05;29;50;4400
2.777777777777778e-05;29;150;4500
2.7160493827160493e-05;30;100;4600
2.654320987654321e-05;31;50;4700
2.5925925925925925e-05;31;150;4800
2.5308641975308646e-05;32;100;4900
2.4691358024691357e-05;33;50;5000
2.4074074074074074e-05;33;150;5100
2.345679012345679e-05;34;100;5200
2.2839506172839506e-05;35;50;5300
2.2222222222222223e-05;35;150;5400
2.1604938271604937e-05;36;100;5500
2.0987654320987655e-05;37;50;5600
2.037037037037037e-05;37;150;5700
1.9753086419753087e-05;38;100;5800
1.91358024691358e-05;39;50;5900
1.8518518518518518e-05;39;150;6000
1.7901234567901236e-05;40;100;6100
1.728395061728395e-05;41;50;6200
1.6666666666666667e-05;41;150;6300
1.604938271604938e-05;42;100;6400
1.54320987654321e-05;43;50;6500
1.4814814814814815e-05;43;150;6600
1.419753086419753e-05;44;100;6700
1.3580246913580247e-05;45;50;6800
1.2962962962962962e-05;45;150;6900
1.2345679012345678e-05;46;100;7000
1.1728395061728396e-05;47;50;7100
1.1111111111111112e-05;47;150;7200
1.0493827160493827e-05;48;100;7300
9.876543209876543e-06;49;50;7400
9.259259259259259e-06;49;150;7500
8.641975308641975e-06;50;100;7600
8.02469135802469e-06;51;50;7700
7.4074074074074075e-06;51;150;7800
6.790123456790123e-06;52;100;7900
6.172839506172839e-06;53;50;8000
5.555555555555556e-06;53;150;8100
4.938271604938272e-06;54;100;8200
4.3209876543209875e-06;55;50;8300
3.7037037037037037e-06;55;150;8400
3.0864197530864196e-06;56;100;8500
2.469135802469136e-06;57;50;8600
1.8518518518518519e-06;57;150;8700
1.234567901234568e-06;58;100;8800
6.17283950617284e-07;59;50;8900
0.0;59;150;9000
